Year,FSCS ID,Town,Library,Mailing Address,Street Address,County,Phone Number,Hours per Week,FY Ends,Population,Hours MLS,ALA MLS,Hours Librarian,FTE Librarians,Hours other,Other Staff,Total Hours,Total FTE,Weekly Volunteer Hrs,Square Feet,Cap. Revenue - Local Taxes,Cap. Revenue - State,Cap. Revenue - Federal, Cap. Revenue - Other ,Total Cap. Revenue , Local Tax , Per Capita Tax ,Other Income, Total Income , State Grant  , Federal Grant , Other Grant , Total Grants , Fee Revenue, Book Expense , E Expense, AV Expense,Total Media Expense , Per Capita Expense, Salaries , Employee Benefits , Total Staff Expense , Other Expense , Total Operating Expense , PC Total Expense ,Grant Expense, Capital Expense ,Adult Books,Juvenile Books,Books,Per Capita Books,E Books,Adult Video,Juvenile Video,Video,Adult Audio,Juvenile Audio,Audio,Total Holdings,Adult Subscriptions,Juvenile Subscriptions,Subscriptions,Databases,E serials,Adult Borrowers,Juvenile Borrowers,Borrowers,% of population who borrow,Visits,Per Capita Visits,Reference Trans.,Per Capita Reference Trans.,Adult Circulation,Juvinile Circulation,Total Circulation,Per Capita Circulation,Collection Turnover,Library Loans Out,Library Loans In,Adult Programs,Juvenile Programs,Young Adult Programs,Total Programs,Adult Prog. Attend.,Juvenile Prog. Attend.,Young Adult Prog. Attend.,Total Program Attendance,Per Capita Prog. Attend.,Home Deliveries,Day Care Deliveries,Other Deliveries,Number of Computers,Public Computers,Computer Trained,Computer Users per Week,Wireless Users per Week,Internet Type,filtered?,Name of filtering program,Meets Standards?,Library Type,Automated?,Automation Vendor,Location 1,ZIP+4,Web address,City
2011-2012,VT0171,WASHINGTON,Calef Memorial,PO Box 141,2964 VT Rte. 110,Orange,(802) 883-2343,23.13461538,12/31/2011,1001,17,0.425,17,0.425,8,0.2,25,0.625,2,966,$0.00,$0.00,$0.00,$0.00,$0.00,$33339.00,$33.31,$517.00,$33856.00,$112.00,$74.00,$0.00,$186.00,N/A,$2738.00,$360.00,$264.00,$3362.00,$3.36,$18472.00,$1413.00,$19885.00,$8382.00,$31629.00,$31.60,$0.00,"$2,673 ",2937,2501,11454,11.44,0,377,94,928,152,2,154,12536,18,0,18,25,0,495,173,668,66.73%,3900,3.9,624,0.62,2401,2198,4599,4.59,0.37%,57,141,12,N/A,N/A,12,N/A,N/A,N/A,0,0,263,0,0,5,4,30,30,18,high speed,No,N/A,y-86,Municipal,Yes,Koha,"2964 VT Rte. 110
Washington, VT 05675
(44.10766740700046, -72.43335469399966)",141,www.caleflibrary.wordpress.com,Washington
2011-2012,VT0192,WINHALL,Winhall Memorial,PO Box 738,2 Lower Taylor Hill Rd.,Bennington,(802) 297-9741,7.884615385,06/30/2012,730,0,0,8,0.2,3,0.075,11,0.275,0,800,$0.00,$0.00,$0.00,$0.00,$0.00,$13200.00,$18.08,$0.00,$13200.00,$0.00,$0.00,$0.00,$0.00,N/A,$5207.00,N/A,N/A,$5207.00,$7.13,$7432.00,$0.00,$7432.00,$2885.00,$15524.00,$21.27,$0.00,$0 ,0,0,6300,8.63,0,0,0,0,0,0,0,6300,0,0,0,0,0,200,17,217,29.73%,1560,2.14,312,0.43,2076,403,2479,3.4,0.39%,0,0,2,1,0,3,150,10,0,160,0.22,0,0,0,3,3,2,6,6,high speed,No,0,no,Community (joint school-public),No,N/A,"2 Lower Taylor Hill Rd.
Bondville, VT 05340
(43.16947130500046, -72.91855698399962)",738,www.winhalllibrary.net ,Bondville
2011-2012,VT0074,HINESBURG,Carpenter Carse,PO Box 127,69 Ballards Corner Rd.,Chittenden,(802) 482-2878,37.07692308,06/30/2012,4712,20,0.5,91,2.275,65,1.625,156,3.9,8,6000,$0.00,$0.00,$0.00,$32285.00,$32285.00,$182650.00,$38.77,$14559.00,$197737.00,$100.00,$743.00,$1300.00,$2143.00,$528.00,$14121.00,$1126.00,$2337.00,$17584.00,$3.73,$124001.00,$18636.00,$142637.00,$45781.00,$206002.00,$43.72,$2143.00,"$32,285 ",15969,9731,25700,5.45,1061,1363,400,1763,1078,257,1335,28798,65,11,76,24,0,2362,576,2938,62.36%,23400,4.97,6240,1.32,23684,20638,44322,9.41,1.54%,411,256,23,87,5,115,547,1277,0,1824,0.39,8,0,12,16,9,55,200,30,high speed,No,N/A,y-86,Incorporated,Yes,Koha open source,"69 Ballards Corner Rd.
Hinesburg, VT 05461
(44.34174582100047, -73.11817437999963)",127,www.carpentercarse.org,Hinesburg
2011-2012,VT0124,READING,Reading Public,PO Box 7,717 VT Rte 106,Windsor,(802) 484-5588,18,06/30/2012,688,0,0,18,0.45,0,0,18,0.45,5,1077,$0.00,$0.00,$0.00,$6079.00,$6079.00,$26280.00,$38.20,$7676.00,$33956.00,$0.00,$55.00,$0.00,$55.00,N/A,$2999.00,$76.00,$136.00,$3211.00,$4.67,$15621.00,$935.00,$16556.00,$6518.00,$26285.00,$38.20,$55.00,"$6,079 ",3648,2462,6110,8.88,0,44,30,74,61,73,134,6318,30,5,35,26,0,N/A,N/A,543,78.92%,2288,3.33,260,0.38,414,434,848,1.23,0.13%,5,90,26,26,0,52,N/A,N/A,N/A,562,0.82,76,0,0,2,2,7,9,14,high speed,No,N/A,y-86,Municipal,No,N/A,"717 VT Rte 106
Reading, VT 05062
(43.454386179000494, -72.53733756199966)",7,www.readinglibrary.org,Reading
2011-2012,VT0004,ARLINGTON,Martha Canfield Memorial,PO Box 267 ,528 E. Arlington Rd.,Bennington,(802) 375-6153,39,12/31/2011,3824,0,0,28,0.7,23,0.575,51,1.275,51,9520,$0.00,$0.00,$0.00,$30995.00,$30995.00,$18300.00,$4.79,$54414.00,$72714.00,$100.00,$297.00,$0.00,$397.00,N/A,$11575.00,$1845.00,$1217.00,$14637.00,$3.83,$41813.00,$6897.00,$48710.00,$34225.00,$97572.00,$25.52,$387.00,"$29,512 ",19837,8424,28261,7.39,0,1691,362,2053,2090,404,2494,32808,46,9,55,27,0,1321,219,1540,40.27%,18460,4.83,832,0.22,16906,8505,25411,6.65,0.77%,164,672,23,32,0,55,139,311,0,450,0.12,36,0,0,21,21,259,60,14,high speed,No,n/a,y-98,Incorporated,Yes,Follett Destiny,"528 E. Arlington Rd.
Arlington, VT 05250
(43.06519393600047, -73.15227116199964)",267,marthacanfieldlibrary.org,Arlington
2011-2012,VT0172,WATERBURY,Waterbury Public,28 N. Main St.,28 N. Main St.,Washington,(802) 244-7036,46.21153846,12/31/2011,6479,0,0,105,2.625,33,0.825,138,3.45,29,1744,$0.00,$0.00,$0.00,$0.00,$0.00,$217520.00,$33.57,$5791.00,$224061.00,$100.00,$431.00,$0.00,$531.00,$750.00,N/A,N/A,N/A,$25030.00,$3.86,$128841.00,$29659.00,$158500.00,$66837.00,$250367.00,$38.64,$0.00,$0 ,11701,9628,21329,3.29,0,527,370,897,422,248,670,22896,54,4,58,26,0,2795,761,3556,54.89%,32604,5.03,9256,1.43,18750,22398,41148,6.35,1.8%,537,700,30,147,0,177,461,1925,N/A,2386,0.37,2,78,8,10,4,N/A,53,19,high speed,No,N/A,y-98,Municipal,Yes,TLC,"28 N. Main St.
Waterbury, VT 05676
(44.33993841200049, -72.75842418899964)",1811,www.waterburypubliclibrary.com,Waterbury
2011-2012,VT0105,NEWFANE,Moore Free,PO Box 208,23 West St.,Windham,(802) 365-7948,20.57692308,10/01/2012,1659,28,0.7,28,0.7,5,0.125,33,0.825,55,4000,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$76000.00,$76000.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6400.00,N/A,$930.00,$7330.00,$4.42,$31250.00,$2400.00,$33650.00,$28926.00,$69906.00,$42.14,$0.00,$0 ,N/A,N/A,18500,11.15,0,890,180,1070,1568,60,1628,21198,19,0,19,24,0,1210,500,1710,103.07%,6500,3.92,260,0.16,N/A,N/A,13980,8.43,0.66%,19,274,26,9,0,35,698,68,0,766,0.46,2,0,6,4,3,12,25,30,high speed,No,N/A,no,Incorporated,Yes,Library World,"23 West St.
Newfane, VT 05345
(42.98670903600049, -72.65659576099966)",208,moorefreelibrary.org,Newfane
2011-2012,VT0072,HARTLAND,Hartland Public,PO Box 137,153 Rte. 5,Windsor,(802) 436-2473,37,06/30/2012,3373,34,0.85,34,0.85,57,1.425,91,2.275,40,2600,$0.00,$0.00,$0.00,$0.00,$0.00,$116035.00,$34.40,$3459.00,$119494.00,$0.00,$55.00,$10000.00,$10055.00,N/A,$14037.00,$0.00,$3215.00,$17252.00,$5.11,$75615.00,$14313.00,$89928.00,$10861.00,$118041.00,$35.00,$11187.00,$0 ,15628,9722,25350,7.52,2416,1622,164,1786,410,169,579,27715,48,12,60,25,0,1340,436,1776,52.65%,26832,7.95,1560,0.46,16416,11314,27730,8.22,1%,81,400,114,142,19,275,712,728,86,1526,0.45,0,0,0,20,8,10,91,0,high speed,No,n/a,y-86,Municipal,Yes,Koha/VOKAL,"153 Rte. 5
Hartland, VT 05048
(43.539334684000494, -72.39971979999967)",137,www.HartlandLibraryVT.org,Hartland
2011-2012,VT0108,NORTHFIELD,Brown Public,93 S. Main St.,93 S. Main St.,Washington,(802) 485-4621,41.42307692,06/30/2012,6168,0,0,50,1.25,28,0.7,78,1.95,0,11790,$0.00,$0.00,$0.00,$0.00,$0.00,$101491.00,$16.45,$12124.00,$114071.00,$100.00,$696.00,$3000.00,$3796.00,$456.00,$9274.00,$0.00,$1938.00,$11212.00,$1.82,$78640.00,$12110.00,$90750.00,$11115.00,$113077.00,$18.33,$3503.00,$325 ,11730,9400,21130,3.43,1600,1430,280,1710,790,170,960,23800,0,0,0,0,0,980,380,1360,22.05%,17680,2.87,2600,0.42,N/A,N/A,19100,3.1,0.8%,270,386,12,155,0,167,106,2056,0,2162,0.35,N/A,0,12,14,10,N/A,93,7,high speed,No,N/A,y-86,Incorporated,Yes,Koha (through Vokal),"93 S. Main St.
Northfield, VT 05663
(44.147486072000504, -72.65631268699963)",5600,www.brownpubliclibrary.org ,Northfield
2011-2012,VT0086,LUDLOW,Fletcher Memorial,88 Main St.,88 Main St.,Windsor,(802) 228-8921,40,08/31/2012,2156,0,0,35,0.875,89,2.225,124,3.1,12,7000,$20000.00,$0.00,$0.00,$0.00,$20000.00,$26200.00,$12.15,$59790.00,$85990.00,$0.00,$0.00,$0.00,$0.00,N/A,$13054.00,$784.00,$0.00,$13838.00,$6.42,$97297.00,$6091.00,$103388.00,$46254.00,$163480.00,$75.83,$2585.00,$0 ,8067,6084,14151,6.56,0,134,48,182,765,106,871,15204,50,12,62,25,0,1676,407,2083,96.61%,33696,15.63,5720,2.65,16199,6434,22633,10.5,1.49%,45,262,23,77,7,107,298,1090,58,1446,0.67,0,43,0,13,7,80,100,40,high speed,No,N/A,no,Incorporated,Yes,Follett Destiny,"88 Main St.
Ludlow, VT 05149
(43.39680255500048, -72.69482376399964)",1041,www.fmlnew.org,Ludlow
2011-2012,VT0035,CHARLOTTE,Charlotte,PO Box 120,115 Ferry Rd.,Chittenden,(802) 425-3864,40,06/30/2012,3739,0,0,35,0.875,75,1.875,110,2.75,20,2400,$0.00,$0.00,$0.00,$0.00,$0.00,$128801.00,$34.45,$14401.00,$143202.00,$100.00,$50.00,$1462.00,$1612.00,N/A,$15818.00,$2676.00,$3783.00,$22277.00,$5.96,$80774.00,$18539.00,$99313.00,$26558.00,$148148.00,$39.62,$1462.00,$0 ,6926,7477,14403,3.85,1604,524,274,798,995,453,1448,16649,34,2,36,0,0,1795,458,2253,60.26%,23400,6.26,1976,0.53,15447,26425,41872,11.2,2.51%,229,96,19,75,2,96,363,1026,21,1410,0.38,7,12,20,8,3,32,100,46,high speed,No,N/A,y-86,Municipal,Yes,"Follett, KOHA","115 Ferry Rd.
Charlotte, VT 05445
(44.311042372000486, -73.24942709399966)",120,www.charlottepubliclibrary.org,Charlotte
2011-2012,VT0066,GROTON,Groton Free Public,1304 Scott Hwy.,1304 Scott Highway,Caledonia,(802) 584-3358,17.5,12/31/2011,918,0,0,18,0.45,0,0,18,0.45,5,673,$0.00,$0.00,$0.00,$0.00,$0.00,$26154.00,$28.49,$5744.00,$31898.00,$0.00,$50.00,$0.00,$50.00,N/A,$4280.00,$0.00,$0.00,$4280.00,$4.66,N/A,N/A,$10343.00,$7077.00,$21700.00,$23.64,$0.00,$0 ,N/A,N/A,6717,7.32,0,N/A,N/A,391,N/A,N/A,98,7206,3,0,3,25,0,N/A,N/A,300,32.68%,2756,3,312,0.34,N/A,N/A,2398,2.61,0.33%,43,119,17,4,0,21,175,12,0,187,0.2,0,0,12,5,4,2,11,7,high speed,No,n/a,y-86,Municipal,No,n/a,"1304 Scott Highway
Groton, VT 05046
(44.210139375000495, -72.19386319399968)",6,http://grotonlibraryvt.org,Groton
2011-2012,VT0076,HYDE PARK,Lanpher Memorial,PO Box 196,141 Main St.,Lamoille,(802) 888-4628,30.34615385,06/30/2012,2933,0,0,32,0.8,11,0.275,43,1.075,24,6060,$0.00,$0.00,$0.00,$0.00,$0.00,$55677.00,$18.98,$0.00,$55677.00,$100.00,$113.00,$4200.00,$4413.00,$0.00,N/A,N/A,N/A,$11500.00,$3.92,$32748.00,$1231.00,$33979.00,$17575.00,$63054.00,$21.50,$4300.00,$0 ,7924,3199,11123,3.79,1061,537,60,597,318,111,429,12149,17,1,18,24,0,670,136,806,27.48%,13624,4.65,3328,1.13,10050,7205,17255,5.88,1.42%,208,219,12,114,0,126,124,1993,0,2117,0.72,2,18,N/A,8,7,0,78,46,high speed,No,N/A,y-86,Municipal,Yes,koha/VOKAL,"141 Main St.
Hyde Park, VT 05655
(44.59356550700045, -72.61716913599963)",196,lanpherlibrary.org,Hyde Park
2011-2012,VT0079,JAMAICA,Jamaica Memorial,PO Box 266,17 Depot St.,Windham,(802) 874-4901,4.692307692,06/30/2012,945,0,0,10,0.2615,0,0,10,0.2615,3,1932,$0.00,$0.00,$0.00,$0.00,$0.00,$10000.00,$10.58,$5154.00,$15154.00,$0.00,$3000.00,$0.00,$3000.00,$0.00,$216.00,$0.00,$0.00,$216.00,$0.23,$7050.00,$340.00,$7390.00,$4266.00,$11872.00,$12.56,$0.00,"$3,000 ",4692,2063,6755,7.15,0,126,141,267,326,38,364,7386,10,0,10,24,0,380,50,430,45.5%,1872,1.98,728,0.77,334,392,726,0.77,0.1%,0,123,10,19,3,32,22,107,4,133,0.14,0,0,0,4,4,6,8,1,high speed,No,n/a,no,Municipal,No,n/a,"17 Depot St.
Jamaica, VT 05343
(43.1002868060005, -72.77831990099963)",266,www.jamaicavtlibrary.org,Jamaica
2011-2012,VT0084,LONDONDERRY,South Londonderry Free,PO Box 95,15 Old School St.,Windham,(802) 824-3371,23,12/31/2011,1814,0,0,22,0.55,3,0.075,25,0.625,24,1732,$0.00,$0.00,$0.00,$0.00,$0.00,$11500.00,$6.34,$37600.00,$49100.00,$100.00,$50.00,$1500.00,$1650.00,N/A,$3300.00,$0.00,$200.00,$3500.00,$1.93,$19500.00,$4600.00,$24100.00,$21500.00,$49100.00,$27.07,$0.00,$0 ,15247,4883,20130,11.1,0,347,415,762,362,47,409,21301,33,3,36,0,0,N/A,N/A,1938,106.84%,2964,1.63,156,0.09,N/A,N/A,6123,3.38,0.29%,24,176,8,14,1,23,76,409,31,516,0.28,4,19,1,7,5,7,31,11,high speed,No,N/A,y-86,Incorporated,No,N/A,"15 Old School St.
S. Londonderry, VT 05155
(43.19087902500047, -72.81245120499966)",95,londonderryvt.org,S. Londonderry
2011-2012,VT0206,CLARENDON,Bailey Memorial,111 Moulton Ave.,111 Moulton Ave.,Rutland,(802) 747-7743,25,06/30/2012,2595,0,0,20,0.5,5,0.125,25,0.625,0,1577,$0.00,$0.00,$0.00,$0.00,$0.00,$20000.00,$7.71,$1256.00,$21256.00,$0.00,$0.00,$0.00,$0.00,$0.00,$2639.00,N/A,N/A,$2639.00,$1.02,$13768.00,$1053.00,$14821.00,$3796.00,$21256.00,$8.19,$0.00,$0 ,N/A,N/A,11000,4.24,0,N/A,N/A,300,80,0,80,11380,0,0,0,0,0,N/A,N/A,1710,65.9%,1820,0.7,572,0.22,N/A,N/A,7800,3.01,0.69%,0,0,20,12,0,32,45,95,0,140,0.05,0,0,0,3,2,15,20,15,high speed,Yes,Comcast,no,Incorporated,Yes,Library World,"111 Moulton Ave.
N. Clarendon, VT 05759
(43.56473169600048, -72.96807770899966)",90,baileylibraryvt.wordpress.com,N. Clarendon
2011-2012,VT0024,BRISTOL,Lawrence Memorial,40 North St.,40 North St.,Addison,(802) 453-2366,39,06/30/2012,3898,0,0,36,0.9,52,1.3,88,2.2,14,2100,$0.00,$0.00,$0.00,$0.00,$0.00,$123733.00,$31.74,$6391.00,$130924.00,$800.00,$74.00,$0.00,$874.00,$800.00,$7934.00,$0.00,$800.00,$8734.00,$2.24,$73782.00,$26149.00,$99931.00,$29771.00,$138436.00,$35.51,$0.00,$0 ,0,0,15382,3.95,0,0,0,2029,0,0,688,18099,8,12,20,25,0,0,0,2928,75.12%,24752,6.35,208,0.05,0,N/A,30038,7.71,1.66%,31,231,22,80,2,104,540,752,34,1326,0.34,0,120,0,12,10,34,128,60,high speed,No,n/a,y-98,Incorporated,Yes,Booksystems,"40 North St.
Bristol, VT 05443
(44.13574146700046, -73.07876196699965)",1207,www.lawrencelibrary.net,Bristol
2011-2012,VT0168,WALLINGFORD,Gilbert Hart,PO Box 69,14 S. Main St.,Rutland,(802) 446-2685,34,09/30/2012,2304,0,0,30,0.75,1,0.025,31,0.775,20,4530,$0.00,$0.00,$0.00,$0.00,$0.00,$34000.00,$14.76,$8617.00,$42617.00,$100.00,$107.00,$0.00,$207.00,N/A,$5379.00,$316.00,$562.00,$6257.00,$2.72,$23742.00,$1746.00,$25488.00,$19597.00,$51342.00,$22.28,$0.00,$0 ,8897,3957,12854,5.58,1604,724,323,1047,448,188,636,14537,38,0,38,2,0,348,95,443,19.23%,5720,2.48,780,0.34,N/A,N/A,8219,3.57,0.57%,139,152,15,9,0,24,115,131,0,246,0.11,N/A,N/A,N/A,5,3,20,25,15,high speed,No,N/A,y-86,Incorporated,Yes,koha,"14 S. Main St.
Wallingford, VT 05773
(43.471494976000486, -72.97728767799964)",69,ghlib.wordpress.com,Wallingford
2011-2012,VT0197,HARTFORD,Hartford,PO Box 512 ,1587 Maple St.,Windsor,(802) 296-2568,42,06/30/2012,4498,33,0.825,33,0.825,42,1.05,75,1.875,30,2400,$1697.00,$0.00,$0.00,$4572.00,$6269.00,$79300.00,$17.63,$0.00,$79300.00,$100.00,$122.00,$0.00,$222.00,N/A,N/A,N/A,N/A,$15032.00,$3.34,N/A,N/A,$39802.00,$21062.00,$75896.00,$16.87,$0.00,"$1,697 ",7056,7079,14135,3.14,0,265,621,1752,309,26,335,16222,15,6,21,25,0,N/A,N/A,1971,43.82%,15444,3.43,1248,0.28,12437,8255,20692,4.6,1.28%,67,650,N/A,N/A,N/A,0,N/A,N/A,N/A,1967,0.44,0,0,49,10,7,37,40,3,high speed,No,N/A,y-86,Incorporated,Yes,Mandarin,"1587 Maple St.
Hartford, VT 05047
(43.661307267000495, -72.34256022599965)",512,Hartford@vals.state.vt.us,Hartford
2011-2012,VT0018,BRADFORD,Bradford Public,PO Box 619,21 S. Main St.,Orange,(802) 222-4536,33,12/31/2011,2785,0,0,45,1.125,0,0,45,1.125,12,3744,$2000.00,$0.00,$0.00,$0.00,$2000.00,$50000.00,$17.95,$14155.00,$64155.00,$0.00,$79.00,$2446.00,$2525.00,N/A,$10000.00,$100.00,$369.00,$10469.00,$3.76,$30458.00,$2330.00,$32788.00,$21283.00,$64540.00,$23.17,$1900.00,$0 ,6000,4000,21510,7.72,5,N/A,N/A,381,225,45,270,22161,8,4,12,26,0,N/A,N/A,800,28.73%,15340,5.51,1560,0.56,N/A,N/A,26437,9.49,1.19%,51,151,69,64,N/A,133,1207,689,N/A,1896,0.68,6,48,15,13,11,4,68,21,high speed,No,na,y-98,Incorporated,Yes,Library World,"21 S. Main St.
Bradford, VT 05033
(43.992989320000504, -72.12854333999962)",619,http://bradfordvtlibrary.org/,Bradford
2011-2012,VT0126,RICHFORD,Arvin A. Brown Public,88 Main St.,88 Main St.,Franklin,(802) 848-3313,26.65384615,12/31/2011,2505,0,0,50,1.25,21,0.5125,71,1.7625,2,2750,$0.00,$0.00,$0.00,$0.00,$0.00,$50007.00,$19.96,$10353.00,$60680.00,$100.00,$65.00,$1495.00,$1660.00,$320.00,$4531.00,$410.00,$421.00,$5362.00,$2.14,$39723.00,$5576.00,$45299.00,$11272.00,$61933.00,$24.72,$1745.00,"$6,842 ",7710,5004,12714,5.08,0,N/A,N/A,1428,N/A,N/A,168,14310,N/A,N/A,107,25,0,N/A,N/A,755,30.14%,7800,3.11,0,0,N/A,N/A,11470,4.58,0.8%,89,74,N/A,N/A,N/A,207,N/A,N/A,N/A,2430,0.97,0,2,30,11,8,52,39,N/A,high speed,No,N/A,y-86,Incorporated,Yes,Koha/VOKAL,"88 Main St.
Richford, VT 05476
(44.9950316230005, -72.67298973899966)",66,www.aabrown.org,Richford
2011-2012,VT0052,ENOSBURG,Enosburgh Public,PO Box 206,241 Main St.,Franklin,(802) 933-2328,56,12/31/2011,2791,30,0.75,30,0.75,42,1.05,72,1.8,0,3000,$0.00,$0.00,$0.00,$0.00,$0.00,$62568.00,$22.42,$1009.00,$63577.00,$0.00,$77.00,$2000.00,$2077.00,N/A,$9391.00,N/A,$982.00,$10373.00,$3.72,$40915.00,$3103.00,$44018.00,$22109.00,$76500.00,$27.41,$77.00,N/A,N/A,N/A,11000,3.94,0,500,100,600,260,50,310,11910,25,2,27,24,0,N/A,N/A,2400,85.99%,23400,8.38,780,0.28,6704,3036,9740,3.49,0.82%,105,315,1,40,0,41,20,450,0,470,0.17,0,0,0,6,5,20,150,16,high speed,No,N/A,y-86,Municipal,No,N/A,"241 Main St.
Enosburg Falls, VT 05450
(44.90595471300048, -72.80579228099964)",206,http://www.enosburghlibrary.org,Enosburg Falls
2011-2012,VT0101,MOUNT HOLLY,Mount Holly Town,PO Box 93,26 Maple Hill Rd.,Rutland,(802) 259-3707,14,12/31/2011,1053,0,0,6,0.15,0,0,6,0.15,35,1598,$0.00,$0.00,$0.00,$0.00,$0.00,$8000.00,$7.60,$3381.00,$11381.00,$100.00,$0.00,$0.00,$100.00,N/A,$2051.00,$0.00,$789.00,$2840.00,$2.70,$5000.00,$1410.00,$6410.00,$2245.00,$11495.00,$10.92,$0.00,$122 ,N/A,N/A,N/A,NA,0,N/A,N/A,253,N/A,N/A,162,NA,6,0,6,0,0,N/A,N/A,N/A,N/A,3692,3.51,0,0,1408,646,2054,1.95,N/A,0,96,25,54,1,80,N/A,N/A,N/A,1728,1.64,18,0,0,4,3,0,10,N/A,high speed,No,N/A,y-86,Incorporated,No,N/A,"26 Maple Hill Rd.
Belmont, VT 05730
(43.414459733000456, -72.82121803099966)",93,www.mounthollyvt.org,Belmont
2011-2012,VT0123,RANDOLPH,Kimball Public,67 N. Main St.,67 N. Main St.,Orange,(802) 728-5073,36,06/30/2012,6136,40,1,115,2.875,15,0.375,130,3.25,14,4012,$0.00,$20000.00,$0.00,$0.00,$20000.00,$179227.00,$29.21,$37214.00,$218988.00,$0.00,$584.00,$750.00,$1334.00,$2547.00,$16684.00,$2116.00,$3469.00,$22269.00,$3.63,$110099.00,$50282.00,$160381.00,$38670.00,$221320.00,$36.07,$338.00,$0 ,10995,9136,20131,3.28,66,419,179,598,714,475,1189,21918,49,2,51,27,0,3088,694,3782,61.64%,31512,5.14,6344,1.03,22218,17357,39575,6.45,1.81%,933,1307,34,141,N/A,175,293,2067,N/A,2360,0.38,20,79,0,12,7,N/A,154,N/A,high speed,No,n/a,y-86,Municipal,Yes,Koha,"67 N. Main St.
Randolph, VT 05060
(43.9251214680005, -72.66570623999962)",1105,www.KimballLibrary.org,Randolph
2011-2012,VT0147,SPRINGFIELD,Springfield Town,43 Main St.,43 Main St.,Windsor,(802) 885-3108,53.98076923,06/30/2012,9343,40,1,110,2.75,235,5.875,345,8.625,35,10300,$0.00,$0.00,$0.00,$8426.00,$8426.00,$618208.00,$66.17,$21687.00,$642340.00,$539.00,$1390.00,$335.00,$2264.00,$2445.00,$42850.00,$9932.00,$5496.00,$58278.00,$6.24,$362496.00,$110295.00,$472791.00,$112095.00,$643164.00,$68.84,$4957.00,"$5,185 ",32250,17037,49287,5.28,9,1273,672,1945,2021,808,2829,54061,127,15,142,35,0,3695,852,4547,48.67%,37648,4.03,1820,0.19,39256,27074,66330,7.1,1.23%,1088,818,154,106,12,272,1247,2487,66,3800,0.41,1974,1401,42,26,13,164,234,N/A,high speed,Yes,WebBalanced Office for Libraries,y-86,Municipal,Yes,The Library Corporation,"43 Main St.
Springfield, VT 05156
(43.298186246000455, -72.48198773499962)",2904,www.springfieldtownlibrary.org,Springfield
2011-2012,VT0100,MORRISTOWN,Morristown Centennial,PO Box 727,7 Richmond St.,Lamoille,(802) 888-3853,39,06/30/2012,5192,0,0,122,3.05,8,0.2,130,3.25,26,3300,$300000.00,$0.00,$0.00,$203150.00,$503150.00,$136038.00,$26.20,$21526.00,$157564.00,$100.00,$20200.00,$3196.00,$23496.00,N/A,$16456.00,$1174.00,$10138.00,$27768.00,$5.35,$110943.00,$18933.00,$129876.00,$23627.00,$181271.00,$34.91,$3196.00,"$425,021 ",N/A,N/A,20334,3.92,0,783,615,1398,715,226,941,22673,63,18,81,25,0,N/A,N/A,3031,58.38%,25272,4.87,12012,2.31,N/A,N/A,36752,7.08,1.62%,114,605,53,98,N/A,151,592,767,N/A,1359,0.26,0,98,54,13,7,56,201,51,high speed,No,n/a,y-86,Incorporated,Yes,Athena,"7 Richmond St.
Morrisville, VT 05661
(44.56213364600046, -72.59542811399967)",727,www.centenniallibrary.org,Morrisville
2011-2012,VT0128,ROCHESTER,Rochester Public,PO Box 256,22 S. Main St.,Windsor,(802) 767-3927,18.38461538,06/30/2012,964,0,0,22,0.55,2,0.0375,24,0.5875,8,2000,$8000.00,$0.00,$0.00,$0.00,$8000.00,$33386.00,$34.63,$9187.00,$42573.00,$100.00,$112.00,$0.00,$212.00,N/A,$12119.00,$200.00,$592.00,$12911.00,$13.39,$22079.00,$6865.00,$28944.00,$19105.00,$60960.00,$63.24,$212.00,"$5,400 ",N/A,N/A,20121,20.87,0,N/A,N/A,922,345,158,503,21546,32,4,36,25,0,N/A,N/A,1465,151.97%,5616,5.83,1248,1.29,8089,2584,10673,11.07,0.5%,59,126,15,29,0,44,221,111,0,332,0.34,12,0,45,13,11,25,35,20,high speed,No,NA,y-86,Municipal,Yes,Mandarin Oasis,"22 S. Main St.
Rochester, VT 05767
(43.87413500500048, -72.80829849099968)",256,www.rochestervtpubliclibrary.com,Rochester
2011-2012,VT0063,GRAND ISLE,Grand Isle Free,10 Hyde Rd.,10 Hyde Rd.,Grand Isle,(802) 372-4797,19.69230769,06/30/2012,2073,0,0,21,0.525,0,0,21,0.525,1,914,$0.00,$0.00,$0.00,$0.00,$0.00,$33765.00,$16.29,$610.00,$34375.00,$0.00,$50.00,$0.00,$50.00,N/A,$6526.00,$328.00,$835.00,$7689.00,$3.71,$15114.00,$1156.00,$16270.00,$9356.00,$33315.00,$16.07,$0.00,$0 ,5222,4200,9422,4.55,1,169,90,259,311,35,346,10027,15,3,18,25,0,485,81,566,27.3%,3380,1.63,260,0.13,2936,2399,5335,2.57,0.53%,254,92,5,30,5,40,14,255,20,289,0.14,1,2,1,5,4,10,4,1,high speed,No,N/A,y-98,Municipal,Yes,Follett,"10 Hyde Rd.
Grand Isle, VT 05458
(44.72235701800048, -73.29513345899966)",2114,grandislefreelibraryvt.wordpress.com,Grand Isle
